property name,property location,property type,property circle rate /100 sqm,property circle_rates per sq feet,property plot_area,property far,property built up area,property age,property Multi_factor,property_construction_cost,property valuation,presumed annual rent by valuation method,property_class,presumed annual rent per feet,presumed annual rent by built up method,presumed annual rent for annual rateable value calculation,annual rateable value,property_tax
synxg,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,1,1,700,731401.44,36570.07,2,40.0,36000.0,36000.0,32400.0,1134.0
zlzuy,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,1,1,1000,1001401.44,50070.07,2,40.0,36000.0,36000.0,32400.0,1134.0
wgcmi,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,1,1,1100,1091401.44,54570.07,2,40.0,36000.0,36000.0,32400.0,1134.0
nbikb,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,1,1,1300,1271401.44,63570.07,2,40.0,36000.0,36000.0,32400.0,1134.0
zhkos,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,6,0.9,700,668401.44,33420.07,2,40.0,36000.0,33420.07,30078.06,1052.73
zuums,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,6,0.9,1000,911401.44,45570.07,2,40.0,36000.0,36000.0,32400.0,1134.0
fsxin,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,6,0.9,1100,992401.44,49620.07,2,40.0,36000.0,36000.0,32400.0,1134.0
aqdew,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,6,0.9,1300,1154401.44,57720.07,2,40.0,36000.0,36000.0,32400.0,1134.0
nkcmw,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,11,0.8,700,605401.44,30270.07,2,40.0,36000.0,30270.07,27243.06,953.51
uplgj,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,11,0.8,1000,821401.44,41070.07,2,40.0,36000.0,36000.0,32400.0,1134.0
nprgx,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,11,0.8,1100,893401.44,44670.07,2,40.0,36000.0,36000.0,32400.0,1134.0
pwmnu,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,11,0.8,1300,1037401.44,51870.07,2,40.0,36000.0,36000.0,32400.0,1134.0
iggyl,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,16,0.7,700,542401.44,27120.07,2,40.0,36000.0,27120.07,24408.06,854.28
smukd,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,16,0.7,1000,731401.44,36570.07,2,40.0,36000.0,36000.0,32400.0,1134.0
pikxb,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,16,0.7,1100,794401.44,39720.07,2,40.0,36000.0,36000.0,32400.0,1134.0
fvuko,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,16,0.7,1300,920401.44,46020.07,2,40.0,36000.0,36000.0,32400.0,1134.0
sfumm,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,21,0.6,700,479401.44,23970.07,2,40.0,36000.0,23970.07,21573.06,755.06
cswzi,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,21,0.6,1000,641401.44,32070.07,2,40.0,36000.0,32070.07,28863.06,1010.21
spken,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,21,0.6,1100,695401.44,34770.07,2,40.0,36000.0,34770.07,31293.06,1095.26
uvcbk,jani vankad,residential,90956.25,84.5,1200.0,0.75,900.0,21,0.6,1300,803401.44,40170.07,2,40.0,36000.0,36000.0,32400.0,1134.0
bpfdv,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,700,840442.09,42022.1,1,120.0,108000.0,42022.1,37819.89,2080.09
mxqra,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,1000,1110442.09,55522.1,1,120.0,108000.0,55522.1,49969.89,2748.34
bdkvn,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,1100,1200442.09,60022.1,1,120.0,108000.0,60022.1,54019.89,2971.09
hkvvk,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,1300,1380442.09,69022.1,1,120.0,108000.0,69022.1,62119.89,3416.59
klofz,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,700,777442.09,38872.1,1,120.0,108000.0,38872.1,34984.89,1924.17
viges,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,1000,1020442.09,51022.1,1,120.0,108000.0,51022.1,45919.89,2525.59
nxykz,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,1100,1101442.09,55072.1,1,120.0,108000.0,55072.1,49564.89,2726.07
dhish,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,1300,1263442.09,63172.1,1,120.0,108000.0,63172.1,56854.89,3127.02
tvkyf,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,700,714442.09,35722.1,1,120.0,108000.0,35722.1,32149.89,1768.24
xjgyi,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,1000,930442.09,46522.1,1,120.0,108000.0,46522.1,41869.89,2302.84
ppzja,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,1100,1002442.09,50122.1,1,120.0,108000.0,50122.1,45109.89,2481.04
cglmw,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,1300,1146442.09,57322.1,1,120.0,108000.0,57322.1,51589.89,2837.44
rxvix,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,700,651442.09,32572.1,1,120.0,108000.0,32572.1,29314.89,1612.32
aupkf,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,1000,840442.09,42022.1,1,120.0,108000.0,42022.1,37819.89,2080.09
qdzzn,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,1100,903442.09,45172.1,1,120.0,108000.0,45172.1,40654.89,2236.02
wjgku,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,1300,1029442.09,51472.1,1,120.0,108000.0,51472.1,46324.89,2547.87
agktd,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,700,588442.09,29422.1,1,120.0,108000.0,29422.1,26479.89,1456.39
rgbrz,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,1000,750442.09,37522.1,1,120.0,108000.0,37522.1,33769.89,1857.34
effrc,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,1100,804442.09,40222.1,1,120.0,108000.0,40222.1,36199.89,1990.99
rhpoz,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,1300,912442.09,45622.1,1,120.0,108000.0,45622.1,41059.89,2258.29
ijqqg,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,700,840442.09,42022.1,2,60.0,54000.0,42022.1,37819.89,2080.09
sbnfw,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,1000,1110442.09,55522.1,2,60.0,54000.0,54000.0,48600.0,2673.0
evhpa,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,1100,1200442.09,60022.1,2,60.0,54000.0,54000.0,48600.0,2673.0
srfjz,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,1,1,1300,1380442.09,69022.1,2,60.0,54000.0,54000.0,48600.0,2673.0
mqtwy,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,700,777442.09,38872.1,2,60.0,54000.0,38872.1,34984.89,1924.17
jfhdi,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,1000,1020442.09,51022.1,2,60.0,54000.0,51022.1,45919.89,2525.59
caifg,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,1100,1101442.09,55072.1,2,60.0,54000.0,54000.0,48600.0,2673.0
kakzf,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,6,0.9,1300,1263442.09,63172.1,2,60.0,54000.0,54000.0,48600.0,2673.0
qirpz,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,700,714442.09,35722.1,2,60.0,54000.0,35722.1,32149.89,1768.24
huffu,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,1000,930442.09,46522.1,2,60.0,54000.0,46522.1,41869.89,2302.84
rxqiq,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,1100,1002442.09,50122.1,2,60.0,54000.0,50122.1,45109.89,2481.04
awzno,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,11,0.8,1300,1146442.09,57322.1,2,60.0,54000.0,54000.0,48600.0,2673.0
icoyk,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,700,651442.09,32572.1,2,60.0,54000.0,32572.1,29314.89,1612.32
ttecw,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,1000,840442.09,42022.1,2,60.0,54000.0,42022.1,37819.89,2080.09
oanoj,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,1100,903442.09,45172.1,2,60.0,54000.0,45172.1,40654.89,2236.02
ynxlc,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,16,0.7,1300,1029442.09,51472.1,2,60.0,54000.0,51472.1,46324.89,2547.87
gupdl,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,700,588442.09,29422.1,2,60.0,54000.0,29422.1,26479.89,1456.39
fowgo,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,1000,750442.09,37522.1,2,60.0,54000.0,37522.1,33769.89,1857.34
hndzt,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,1100,804442.09,40222.1,2,60.0,54000.0,40222.1,36199.89,1990.99
ovham,jani vankad,commercial,188764.8,175.37,1200.0,0.75,900.0,21,0.6,1300,912442.09,45622.1,2,60.0,54000.0,45622.1,41059.89,2258.29
fhetu,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,700,941401.44,47070.07,1,80.0,96000.0,47070.07,42363.06,1482.71
ldswj,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,1000,1301401.44,65070.07,1,80.0,96000.0,65070.07,58563.06,2049.71
qisnf,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,1100,1421401.44,71070.07,1,80.0,96000.0,71070.07,63963.06,2238.71
ryluo,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,1300,1661401.44,83070.07,1,80.0,96000.0,83070.07,74763.06,2616.71
jciie,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,700,857401.44,42870.07,1,80.0,96000.0,42870.07,38583.06,1350.41
ohgbc,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,1000,1181401.44,59070.07,1,80.0,96000.0,59070.07,53163.06,1860.71
luxzp,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,1100,1289401.44,64470.07,1,80.0,96000.0,64470.07,58023.06,2030.81
fsjnl,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,1300,1505401.44,75270.07,1,80.0,96000.0,75270.07,67743.06,2371.01
mltfi,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,700,773401.44,38670.07,1,80.0,96000.0,38670.07,34803.06,1218.11
hjcgp,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,1000,1061401.44,53070.07,1,80.0,96000.0,53070.07,47763.06,1671.71
rqijv,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,1100,1157401.44,57870.07,1,80.0,96000.0,57870.07,52083.06,1822.91
qmerv,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,1300,1349401.44,67470.07,1,80.0,96000.0,67470.07,60723.06,2125.31
ianyi,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,700,689401.44,34470.07,1,80.0,96000.0,34470.07,31023.06,1085.81
kobih,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,1000,941401.44,47070.07,1,80.0,96000.0,47070.07,42363.06,1482.71
dppga,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,1100,1025401.44,51270.07,1,80.0,96000.0,51270.07,46143.06,1615.01
ivdoy,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,1300,1193401.44,59670.07,1,80.0,96000.0,59670.07,53703.06,1879.61
mbmiy,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,700,605401.44,30270.07,1,80.0,96000.0,30270.07,27243.06,953.51
fgdqi,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,1000,821401.44,41070.07,1,80.0,96000.0,41070.07,36963.06,1293.71
lbyac,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,1100,893401.44,44670.07,1,80.0,96000.0,44670.07,40203.06,1407.11
wafyt,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,1300,1037401.44,51870.07,1,80.0,96000.0,51870.07,46683.06,1633.91
bmmao,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,700,941401.44,47070.07,2,40.0,48000.0,47070.07,42363.06,1482.71
wzugz,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,1000,1301401.44,65070.07,2,40.0,48000.0,48000.0,43200.0,1512.0
qtlqv,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,1100,1421401.44,71070.07,2,40.0,48000.0,48000.0,43200.0,1512.0
pcxrb,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,1,1,1300,1661401.44,83070.07,2,40.0,48000.0,48000.0,43200.0,1512.0
fholo,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,700,857401.44,42870.07,2,40.0,48000.0,42870.07,38583.06,1350.41
jdxvz,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,1000,1181401.44,59070.07,2,40.0,48000.0,48000.0,43200.0,1512.0
hqifn,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,1100,1289401.44,64470.07,2,40.0,48000.0,48000.0,43200.0,1512.0
lwdss,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,6,0.9,1300,1505401.44,75270.07,2,40.0,48000.0,48000.0,43200.0,1512.0
nhxha,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,700,773401.44,38670.07,2,40.0,48000.0,38670.07,34803.06,1218.11
rkcuc,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,1000,1061401.44,53070.07,2,40.0,48000.0,48000.0,43200.0,1512.0
wznmd,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,1100,1157401.44,57870.07,2,40.0,48000.0,48000.0,43200.0,1512.0
zpmor,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,11,0.8,1300,1349401.44,67470.07,2,40.0,48000.0,48000.0,43200.0,1512.0
sbuxg,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,700,689401.44,34470.07,2,40.0,48000.0,34470.07,31023.06,1085.81
ojfei,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,1000,941401.44,47070.07,2,40.0,48000.0,47070.07,42363.06,1482.71
gtmrh,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,1100,1025401.44,51270.07,2,40.0,48000.0,48000.0,43200.0,1512.0
uwpqo,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,16,0.7,1300,1193401.44,59670.07,2,40.0,48000.0,48000.0,43200.0,1512.0
qsxqb,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,700,605401.44,30270.07,2,40.0,48000.0,30270.07,27243.06,953.51
lugrp,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,1000,821401.44,41070.07,2,40.0,48000.0,41070.07,36963.06,1293.71
pdluy,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,1100,893401.44,44670.07,2,40.0,48000.0,44670.07,40203.06,1407.11
ywval,jani vankad,residential,90956.25,84.5,1200.0,1.0,1200.0,21,0.6,1300,1037401.44,51870.07,2,40.0,48000.0,48000.0,43200.0,1512.0
vmeye,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,700,1050442.09,52522.1,1,120.0,144000.0,52522.1,47269.89,2599.84
turrl,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,1000,1410442.09,70522.1,1,120.0,144000.0,70522.1,63469.89,3490.84
bxywb,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,1100,1530442.09,76522.1,1,120.0,144000.0,76522.1,68869.89,3787.84
buzfk,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,1300,1770442.09,88522.1,1,120.0,144000.0,88522.1,79669.89,4381.84
aurup,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,700,966442.09,48322.1,1,120.0,144000.0,48322.1,43489.89,2391.94
mksnn,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,1000,1290442.09,64522.1,1,120.0,144000.0,64522.1,58069.89,3193.84
aionv,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,1100,1398442.09,69922.1,1,120.0,144000.0,69922.1,62929.89,3461.14
lhvxg,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,1300,1614442.09,80722.1,1,120.0,144000.0,80722.1,72649.89,3995.74
tootb,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,700,882442.09,44122.1,1,120.0,144000.0,44122.1,39709.89,2184.04
mroai,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,1000,1170442.09,58522.1,1,120.0,144000.0,58522.1,52669.89,2896.84
bcnau,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,1100,1266442.09,63322.1,1,120.0,144000.0,63322.1,56989.89,3134.44
bagbk,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,1300,1458442.09,72922.1,1,120.0,144000.0,72922.1,65629.89,3609.64
kltxt,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,700,798442.09,39922.1,1,120.0,144000.0,39922.1,35929.89,1976.14
eigde,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,1000,1050442.09,52522.1,1,120.0,144000.0,52522.1,47269.89,2599.84
smtox,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,1100,1134442.09,56722.1,1,120.0,144000.0,56722.1,51049.89,2807.74
dwrrq,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,1300,1302442.09,65122.1,1,120.0,144000.0,65122.1,58609.89,3223.54
rkixb,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,700,714442.09,35722.1,1,120.0,144000.0,35722.1,32149.89,1768.24
zwbct,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,1000,930442.09,46522.1,1,120.0,144000.0,46522.1,41869.89,2302.84
utduu,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,1100,1002442.09,50122.1,1,120.0,144000.0,50122.1,45109.89,2481.04
inhbl,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,1300,1146442.09,57322.1,1,120.0,144000.0,57322.1,51589.89,2837.44
hiylo,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,700,1050442.09,52522.1,2,60.0,72000.0,52522.1,47269.89,2599.84
sxyxt,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,1000,1410442.09,70522.1,2,60.0,72000.0,70522.1,63469.89,3490.84
mfgmo,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,1100,1530442.09,76522.1,2,60.0,72000.0,72000.0,64800.0,3564.0
lxtur,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,1,1,1300,1770442.09,88522.1,2,60.0,72000.0,72000.0,64800.0,3564.0
fsijt,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,700,966442.09,48322.1,2,60.0,72000.0,48322.1,43489.89,2391.94
lqhtz,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,1000,1290442.09,64522.1,2,60.0,72000.0,64522.1,58069.89,3193.84
hvqaw,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,1100,1398442.09,69922.1,2,60.0,72000.0,69922.1,62929.89,3461.14
thjly,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,6,0.9,1300,1614442.09,80722.1,2,60.0,72000.0,72000.0,64800.0,3564.0
glfob,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,700,882442.09,44122.1,2,60.0,72000.0,44122.1,39709.89,2184.04
czxej,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,1000,1170442.09,58522.1,2,60.0,72000.0,58522.1,52669.89,2896.84
ekftw,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,1100,1266442.09,63322.1,2,60.0,72000.0,63322.1,56989.89,3134.44
umirm,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,11,0.8,1300,1458442.09,72922.1,2,60.0,72000.0,72000.0,64800.0,3564.0
yazow,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,700,798442.09,39922.1,2,60.0,72000.0,39922.1,35929.89,1976.14
xpcye,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,1000,1050442.09,52522.1,2,60.0,72000.0,52522.1,47269.89,2599.84
vuxwz,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,1100,1134442.09,56722.1,2,60.0,72000.0,56722.1,51049.89,2807.74
eybsh,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,16,0.7,1300,1302442.09,65122.1,2,60.0,72000.0,65122.1,58609.89,3223.54
drscy,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,700,714442.09,35722.1,2,60.0,72000.0,35722.1,32149.89,1768.24
jwsud,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,1000,930442.09,46522.1,2,60.0,72000.0,46522.1,41869.89,2302.84
rgryc,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,1100,1002442.09,50122.1,2,60.0,72000.0,50122.1,45109.89,2481.04
kcmrq,jani vankad,commercial,188764.8,175.37,1200.0,1.0,1200.0,21,0.6,1300,1146442.09,57322.1,2,60.0,72000.0,57322.1,51589.89,2837.44
pzvxg,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,700,955902.65,47795.13,1,80.0,88000.0,47795.13,43015.62,1505.55
lfxgk,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,1000,1285902.65,64295.13,1,80.0,88000.0,64295.13,57865.62,2025.3
ogzbk,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,1100,1395902.65,69795.13,1,80.0,88000.0,69795.13,62815.62,2198.55
oeihp,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,1300,1615902.65,80795.13,1,80.0,88000.0,80795.13,72715.62,2545.05
pzsbq,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,700,878902.65,43945.13,1,80.0,88000.0,43945.13,39550.62,1384.27
aqmia,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,1000,1175902.65,58795.13,1,80.0,88000.0,58795.13,52915.62,1852.05
oqklz,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,1100,1274902.65,63745.13,1,80.0,88000.0,63745.13,57370.62,2007.97
yjowa,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,1300,1472902.65,73645.13,1,80.0,88000.0,73645.13,66280.62,2319.82
tlkio,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,11,0.8,700,801902.65,40095.13,1,80.0,88000.0,40095.13,36085.62,1263.0
liqwt,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,11,0.8,1000,1065902.65,53295.13,1,80.0,88000.0,53295.13,47965.62,1678.8
eedcu,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,11,0.8,1100,1153902.65,57695.13,1,80.0,88000.0,57695.13,51925.62,1817.4
ftfmo,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,11,0.8,1300,1329902.65,66495.13,1,80.0,88000.0,66495.13,59845.62,2094.6
swqcc,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,16,0.7,700,724902.65,36245.13,1,80.0,88000.0,36245.13,32620.62,1141.72
huelo,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,16,0.7,1000,955902.65,47795.13,1,80.0,88000.0,47795.13,43015.62,1505.55
uwuua,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,16,0.7,1100,1032902.65,51645.13,1,80.0,88000.0,51645.13,46480.62,1626.82
kdudm,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,16,0.7,1300,1186902.65,59345.13,1,80.0,88000.0,59345.13,53410.62,1869.37
wgcrq,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,21,0.6,700,647902.65,32395.13,1,80.0,88000.0,32395.13,29155.62,1020.45
qjsns,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,21,0.6,1000,845902.65,42295.13,1,80.0,88000.0,42295.13,38065.62,1332.3
dpnrx,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,21,0.6,1100,911902.65,45595.13,1,80.0,88000.0,45595.13,41035.62,1436.25
ydblo,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,21,0.6,1300,1043902.65,52195.13,1,80.0,88000.0,52195.13,46975.62,1644.15
kzqkn,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,700,955902.65,47795.13,2,40.0,44000.0,44000.0,39600.0,1386.0
ryysn,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,1000,1285902.65,64295.13,2,40.0,44000.0,44000.0,39600.0,1386.0
lyisv,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,1100,1395902.65,69795.13,2,40.0,44000.0,44000.0,39600.0,1386.0
ijhph,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,1,1,1300,1615902.65,80795.13,2,40.0,44000.0,44000.0,39600.0,1386.0
nyenn,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,700,878902.65,43945.13,2,40.0,44000.0,43945.13,39550.62,1384.27
utgkt,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,1000,1175902.65,58795.13,2,40.0,44000.0,44000.0,39600.0,1386.0
enilt,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,1100,1274902.65,63745.13,2,40.0,44000.0,44000.0,39600.0,1386.0
noryh,jani vankad,residential,90956.25,84.5,2200.0,0.5,1100.0,6,0.9,1300,1472902.65,73645.13,2,40.0,44000.0,44000.0,39600.0,1386.0
